term_original,variant,fenotipo_canonico,categoria_core,carpeta
Ahogo / Opresión,Ahogo,Somatización,SntomassomticosEjemplos,Ansiedad
QTP / ALP / VNF,ALP,Benzodiacepina (Alprazolam),medication_anxiety,Ansiedad
Argel / Argelado /a,Argel,Irritabilidad,Irritabilidad,Ansiedad
Argel / Argelado /a,Argelada,Irritabilidad,Irritabilidad,Ansiedad
Argel / Argelado,Argelado,Irritabilidad,Irritabilidad,Ansiedad
Ataque de nervios,Ataque de nervios,Pánico,Pnico,Ansiedad
Bajoneado /a,Bajoneada,Ánimo deprimido,Animodeprimido,Depresion
Bajoneado /a,Bajoneado,Ánimo deprimido,Animodeprimido,Depresion
Bloqueo / Me bloqueo,Bloqueo,Baja concentración,Bajaconcentracin,Depresion
Kaigue / Caigue,Caigue,Abulia / Fatiga,Fatiga,Depresion
Estorbo / Carga,Carga,Minusvalía / Culpa,Culpa,Depresion
Chespi,Chespi,Uso de Sustancias,UsoSustancias,Contexto
Contractura / Tensión,Contractura,Somatización,SntomassomticosEjemplos,Ansiedad
Darle vueltas,Darle vueltas,Rumiación,Rumiacin,Depresion
Desinterés / Pérdida,Desinterés,Anhedonia / Apatía,Anhedonia,Depresion
Duerme entrecortado,Duerme entrecortado,Sueño Alterado,SueoAlterado,Depresion
Estorbo / Carga,Estorbo,Minusvalía / Culpa,Culpa,Depresion
Ganas de nada,Ganas de nada,Apatía / Abulia,Abulia,Depresion
Kaigue / Caigue,Kaigue,Abulia / Fatiga,Fatiga,Depresion
Macoña,Macoña,Uso de Sustancias,UsoSustancias,Contexto
Bloqueo / Me bloqueo,Me bloqueo,Baja concentración,Bajaconcentracin,Depresion
Ndavy'ái,Ndavy'ái,Angustia / Soledad,Soledad,Depresion
No da gusto,No da gusto,Anhedonia,Anhedonia,Depresion
No rindo / No rinde,No rinde,Baja concentración,Bajaconcentracin,Depresion
No rindo / No rinde,No rindo,Baja concentración,Bajaconcentracin,Depresion
No se halla,No se halla,Inquietud / Angustia,AngustiaMiedoTemor,Ansiedad
OH / OH+,OH,Alcoholismo,Alcoholismo,Contexto
OH / OH+,OH+,Alcoholismo,Alcoholismo,Contexto
Ahogo / Opresión,Opresión,Somatización,SntomassomticosEjemplos,Ansiedad
Pirĩ,Pirĩ,Somatización,SntomassomticosEjemplos,Ansiedad
Desinterés / Pérdida,Pérdida,Anhedonia / Apatía,Anhedonia,Depresion
QTP / ALP / VNF,QTP,Antipsicótico (Quetiapina),medication_depression,Depresion
Se arma películas,Se arma películas,Catastrofización,Prospeccindesesperanzada,Ansiedad
SPA,SPA,Uso de Sustancias,UsoSustancias,Contexto
Susto (emocional),Susto (emocional),Pánico / Estrés,Pnico,Ansiedad
Tekorei,Tekorei,Apatía,Apata,Depresion
Temblo / Tiemblo,Temblo,Somatización,SntomassomticosEjemplos,Ansiedad
Contractura / Tensión,Tensión,Somatización,SntomassomticosEjemplos,Ansiedad
Temblo / Tiemblo,Tiemblo,Somatización,SntomassomticosEjemplos,Ansiedad
Todo me da igual,Todo me da igual,Apatía,Apata,Depresion
QTP / ALP / VNF,VNF,Antidepresivo (Venlafaxina),medication_depression,Depresion
Vy'a'ỹ,Vy'a'ỹ,Tristeza profunda,Animodeprimido,Depresion
Ñembotavy,Ñembotavy,Apatía / Evasión,RetraimientosocialAislamiento,Depresion
